dataset_id,compound_species,leaf_unit_measured,evidence,notes
Angevin_2011,compound_present,NA,NA,NA
Apgaua_2015,compound_present,NA,NA,NA
Atkinson_2020_2,compound_present,NA,NA,NA
Bragg_2002,compound_present,NA,NA,NA
Buckton_2019,compound_present,NA,NA,NA
Burrows_2001,compound_present,NA,NA,NA
Caldwell_2016,compound_present,NA,NA,NA
Catford_2014,compound_present,NA,NA,NA
Cernusak_2011,compound_present,NA,NA,NA
Cheesman_2020,compound_present,NA,NA,NA
Curran_2009,no_compound,NA,NA,NA
Curtis_2012,compound_present,NA,NA,NA
Duncan_1998,compound_present,NA,NA,NA
Edwards_2000,compound_present,NA,NA,NA
EsperonRodriguez_2020,compound_present,NA,NA,NA
Falster_2003,compound_present,NA,NA,NA
Falster_2005_1,compound_present,NA,NA,NA
Falster_2005_2,compound_present,NA,NA,NA
Fonseca_2000,compound_present,NA,NA,NA
Gallagher_2018,compound_present,NA,NA,NA
Goble_1981,compound_present,NA,NA,NA
Grootemaat_2015,compound_present,NA,NA,NA
Grootemaat_2017_1,no_compound,NA,NA,NA
Jin_2019,no_compound,NA,NA,NA
Jordan_2007,compound_present,NA,NA,NA
Jordan_2020,compound_present,NA,NA,NA
Jurado_1991,compound_present,NA,NA,NA
Kanowski_2000,compound_present,NA,NA,NA
Laliberte_2012,compound_present,NA,NA,NA
Lamont_2002,compound_present,NA,NA,NA
Laxton_2005,compound_present,NA,NA,NA
Leigh_2006,no_compound,NA,NA,NA
Leishman_1992,compound_present,NA,NA,NA
Leishman_1995,compound_present,NA,NA,NA
Lim_2017,compound_present,NA,NA,NA
McCarthy_2017,compound_present,NA,NA,NA
Meers_2007,compound_present,NA,NA,NA
Metcalfe_2009,compound_present,NA,NA,NA
Mokany_2008,compound_present,NA,NA,NA
Moles_2000,compound_present,NA,NA,NA
Moles_2011,compound_present,NA,NA,NA
Moore_2019,compound_present,NA,NA,NA
Morgan_2005,compound_present,NA,NA,NA
Morgan_2014,compound_present,NA,NA,NA
Niinemets_2009,compound_present,NA,NA,NA
Nolan_2022,compound_present,NA,NA,NA
Ooi_2018,compound_present,NA,NA,NA
Peeters_2002,compound_present,NA,NA,NA
Pickering_2014,compound_present,NA,NA,NA
Pickup_2002,no_compound,NA,NA,NA
Pickup_2005,compound_present,NA,NA,NA
Pollock_2012,compound_present,NA,NA,NA
Pollock_2018,compound_present,NA,NA,NA
Prior_2003,compound_present,NA,NA,NA
Read_2005,compound_present,NA,NA,NA
Schulze_2006_2,compound_present,NA,NA,NA
Schulze_2014,compound_present,NA,NA,NA
Smith_1996,compound_present,NA,NA,NA
Staples_2019,compound_present,NA,NA,NA
Taseski_2017,compound_present,NA,NA,NA
Tng_2013,compound_present,NA,NA,NA
Venn_2011,compound_present,NA,NA,NA
Vesk_2004,compound_present,NA,NA,NA
Wells_2012,compound_present,NA,NA,NA
Westoby_2003,compound_present,NA,NA,NA
Westoby_2004,compound_present,NA,NA,NA
Westoby_2014,compound_present,NA,NA,NA
Wright_2002,compound_present,NA,NA,NA
Wright_2006,compound_present,NA,NA,NA
Wright_2008,compound_present,NA,NA,NA
Wright_2019,compound_present,NA,NA,NA
